niche,provider_slug,plan_id,run_id,source_url,fetched_at,http_status,extraction_method,selector_or_path,raw_value,raw_currency,raw_period,page_hash,archive_url,scraper_version,fx_rate,fx_date,normalized_usd_per_month,alt_usd_per_month,alt_method,renewal_usd_per_month,incl_vat,status,flags,reason
newsletter-tools,brevo,starter,2026-08_r1,https://www.brevo.com/pricing/,2026-08-01T09:48:00.773Z,200,json_ld,offers.price,GBP 6 (JSON-LD),GBP,year,e33ec7eaf4e3e6f8,,prijsmeter-1.0.0/v1-2026-07,1.3421,2026-07-31,0.67,,,,unknown,under_review,out_of_band,gevlagd: out_of_band
newsletter-tools,ghost,starter,2026-08_r1,https://ghost.org/pricing/,2026-08-01T09:48:04.620Z,200,css_selector,text-proximity,$ 18 | For solo blogs & newsletters $ 18 USD / mo Billed yearly Features Your own website Free custom domain NEW Custom domain,USD,month,6545c9880b69cc33,,prijsmeter-1.0.0/v1-2026-07,1,2026-08-01,18,,,,unknown,observed_new,,mediaan van 3/3 runs
newsletter-tools,mailerlite,comfort,2026-08_r1,https://www.mailerlite.com/pricing,2026-08-01T09:48:08.066Z,200,css_selector,text-proximity,$12 | ). The Comfort plan (starting $12/month) is the full toolset at the right size for solopreneurs and small teams. You get,USD,month,ed8a45ad425a76ee,,prijsmeter-1.0.0/v1-2026-07,1,2026-08-01,12,,,,unknown,observed_new,,mediaan van 3/3 runs
newsletter-tools,aweber,lite,2026-08_r1,https://www.aweber.com/pricing.htm,2026-08-01T09:48:11.479Z,200,json_ld,offers.price,USD 15 (JSON-LD),USD,month,21409ef415fe67de,,prijsmeter-1.0.0/v1-2026-07,1,2026-08-01,15,12.49,css_selector,,true,under_review,extractor_disagreement,gevlagd: extractor_disagreement
newsletter-tools,mailchimp,essentials,2026-08_r1,https://mailchimp.com/pricing/,2026-08-01T09:48:15.023Z,200,css_selector,text-proximity,"€ 11 | Save 15% on 10,000+ contacts € 11 43 /mo for 12 months per month for 12 months Then, starts at /month† /mo† per month†",EUR,month,dd97315ce733f96a,,prijsmeter-1.0.0/v1-2026-07,1.1485,2026-07-31,12.63,,,,unknown,observed_new,,mediaan van 3/3 runs
newsletter-tools,activecampaign,starter,2026-08_r1,https://www.activecampaign.com/pricing,2026-08-01T09:48:18.496Z,200,css_selector+render,text-proximity,$ 15 | Customize your plan Starts at $ 15 / mo $ / mo Billed annually Buy Now Active Intelligence (limits apply) Marketing auto,USD,month,6d1136f6d6f20553,,prijsmeter-1.0.0/v1-2026-07,1,2026-08-01,15,,,,unknown,observed_new,,mediaan van 3/3 runs
newsletter-tools,omnisend,standard,2026-08_r1,https://www.omnisend.com/pricing/,2026-08-01T09:48:28.692Z,200,css_selector,text-proximity,"$11.20 | es focused on email marketing $11.20 /mo Billed monthly Total of: $48.00 $33.60 today -30% After 3 months, you will be b",USD,month,960bb8459ac787db,,prijsmeter-1.0.0/v1-2026-07,1,2026-08-01,11.2,,,,unknown,observed_new,,mediaan van 3/3 runs
newsletter-tools,getresponse,starter,2026-08_r1,https://www.getresponse.com/pricing,2026-08-01T09:48:32.705Z,200,css_selector,text-proximity,"€ 13 | mited monthly sends. € 16 /mo € 13 .12 /mo Paid annually, save up to € 35 a year Start free trial Includes: Unlimited mo",EUR,month,7bc2f73fb7401962,,prijsmeter-1.0.0/v1-2026-07,1.1485,2026-07-31,14.93,,,,true,observed_new,,mediaan van 3/3 runs
newsletter-tools,klaviyo,email,2026-08_r1,https://www.klaviyo.com/pricing,2026-08-01T09:48:36.948Z,200,css_selector,text-proximity,"$5 | 250 profiles 500 emails/month $5 of mobile messages/month 10,000 Composer credits Built-in reporting Email support Get t",USD,month,2a54c893aae72a0c,,prijsmeter-1.0.0/v1-2026-07,1,2026-08-01,5,,,,unknown,observed_new,,mediaan van 3/3 runs
newsletter-tools,kit,creator,2026-08_r1,https://kit.com/pricing,2026-08-01T09:48:40.694Z,200,css_selector,text-proximity,"$ 390 | For growing creators $ 33 /mo $ 390 billed yearly— Save $ 78 per year Pay yearly—save 17% For 1,000 email subscribers No",USD,month,570453cfecc9c2dc,,prijsmeter-1.0.0/v1-2026-07,1,2026-08-01,390,,,,unknown,under_review,out_of_band,gevlagd: out_of_band
newsletter-tools,beehiiv,scale,2026-08_r1,https://www.beehiiv.com/pricing,2026-08-01T09:48:44.174Z,200,css_selector,text-proximity,$517 | Save $ 71 /year $43 per month $517 billed annually Try for free Everything on Launch + Ad Network * † Paid Recommendatio,USD,month,834546bbc353be65,,prijsmeter-1.0.0/v1-2026-07,1,2026-08-01,517,,,,unknown,under_review,out_of_band,gevlagd: out_of_band
