niche,provider_slug,plan_id,run_id,source_url,fetched_at,http_status,extraction_method,selector_or_path,raw_value,raw_currency,raw_period,page_hash,archive_url,scraper_version,fx_rate,fx_date,normalized_usd_per_month,alt_usd_per_month,alt_method,renewal_usd_per_month,incl_vat,status,flags,reason
website-builders,carrd,pro-lite,2026-08_r1,https://carrd.co/pro,2026-08-01T09:13:28.086Z,200,css_selector,text-proximity,$ 9 | hever works for you. Pro Lite $ 9 / year 3 Sites Premium URLs No Branding High Quality Images Large Images and Videos No,USD,year,a44bcd5928dd9acd,http://web.archive.org/web/20260718044927/https://carrd.co/pro,prijsmeter-1.0.0/v1-2026-07,1,2026-08-01,0.75,,,,unknown,under_review,out_of_band,gevlagd: out_of_band
website-builders,hostinger-builder,premium,2026-08_r1,https://www.hostinger.com/website-builder,2026-08-01T09:13:31.777Z,200,json_ld,offers.price,USD 2.99 (JSON-LD),USD,unknown,bbdfc5032be685c3,,prijsmeter-1.0.0/v1-2026-07,1,2026-08-01,2.99,2.99,css_selector,10.99,true,under_review,period_unknown,gevlagd: period_unknown
website-builders,wordpress-com,personal,2026-08_r1,https://wordpress.com/pricing/,2026-08-01T09:13:35.187Z,200,css_selector,text-proximity,€ 4 | a site you can customize. € 9 € 4 € 3.25 € 2.75 per month per month per month per month Save 55% Save 63% Save 69% Free,EUR,month,61a0629a30ab1dc8,http://web.archive.org/web/20260731134619/https://wordpress.com/pricing/,prijsmeter-1.0.0/v1-2026-07,1.1485,2026-07-31,4.59,,,,unknown,observed_new,,mediaan van 3/3 runs
website-builders,shopify,basic,2026-08_r1,https://www.shopify.com/pricing,2026-08-01T09:13:39.589Z,200,css_selector,text-proximity,"€1 | Us too. Try 3 days free, then €1/month for 3 months. Pay yearly Compare all features Basic €21 /mo For solo entrepreneur",EUR,month,c0c50d8fdb9c9d1f,,prijsmeter-1.0.0/v1-2026-07,1.1485,2026-07-31,1.15,,,,unknown,observed_new,,mediaan van 3/3 runs
website-builders,strikingly,pro,2026-08_r1,https://www.strikingly.com/s/pricing,2026-08-01T09:13:43.466Z,200,css_selector,text-proximity,"$ 16 | ort Sign Up Most Popular! Pro $ 16 /mo USD, Billed yearly Everything you need to launch & grow! Sign Up 3 Pro sites Unli",USD,month,8e30a40ef1770d5d,http://web.archive.org/web/20260626232110/https://www.strikingly.com/s/pricing,prijsmeter-1.0.0/v1-2026-07,1,2026-08-01,16,,,,unknown,observed_new,,mediaan van 3/3 runs
website-builders,jimdo,jimdo-instap,2026-08_r1,https://www.jimdo.com/pricing/website/,2026-08-01T09:13:49.243Z,200,css_selector+render,text-proximity,€ 12 | support within 24 hours Start € 12 . 20 per month / month Get Started For your personal website Free domain 10 pages Boo,EUR,month,ca0f1f726ed78dcf,,prijsmeter-1.0.0/v1-2026-07,1.1485,2026-07-31,13.78,,,,unknown,observed_new,,mediaan van 3/3 runs
website-builders,ionos,starter,2026-08_r1,https://www.ionos.com/websites/website-builder,2026-08-01T09:13:59.340Z,200,css_selector,text-proximity,$ 6 | y-back guarantee Save 67% $18 $ 6 /month with a 1-year term Then only $14 /month Add to cart All essential features Also,USD,month,521fd1866e1be2ba,,prijsmeter-1.0.0/v1-2026-07,1,2026-08-01,6,,,14,unknown,observed_new,,mediaan van 3/3 runs
website-builders,10web,ai-starter,2026-08_r1,https://10web.io/pricing/,2026-08-01T09:14:03.589Z,200,css_selector,text-proximity,$120 | or buy now Get 12 months for $120 (regular price $240). Websites 1 AI Credits 100/mo Additional Website Get additional,USD,month,4710f1a3578e0f69,,prijsmeter-1.0.0/v1-2026-07,1,2026-08-01,120,,,,unknown,under_review,out_of_band,gevlagd: out_of_band
website-builders,godaddy,godaddy-instap,2026-08_r1,https://www.godaddy.com/websites/website-builder/plans-and-pricing,2026-08-01T09:18:00.384Z,403,manual,,,,unknown,d5c1a4bf1e299e0b,,prijsmeter-1.0.0/v1-2026-07,,,,,,,unknown,missing,,"geen prijs gevonden (statisch, mogelijk JS, 429 bytes)"
website-builders,site123,premium,2026-08_r1,https://www.site123.com/pricing,2026-08-01T09:14:13.032Z,200,css_selector,text-proximity,"$10.8 | you will be charged as low as $10.8 per month (annual plan, paid up front). Can I switch my package plan? Yes you can! Y",USD,month,9483cab7667016c7,,prijsmeter-1.0.0/v1-2026-07,1,2026-08-01,10.8,,,,unknown,observed_new,,mediaan van 3/3 runs
