niche,provider_slug,plan_id,run_id,source_url,fetched_at,http_status,extraction_method,selector_or_path,raw_value,raw_currency,raw_period,page_hash,archive_url,scraper_version,fx_rate,fx_date,normalized_usd_per_month,alt_usd_per_month,alt_method,renewal_usd_per_month,incl_vat,status,flags,reason,body_hash
website-builders,carrd,pro-lite,2026-09_r1,https://carrd.co/pro,2026-09-07T10:17:22.766Z,200,css_selector,text-proximity,$ 9 | hever works for you. Pro Lite $ 9 / year 3 Sites Premium URLs No Branding High Quality Images Large Images and Videos No,USD,year,a44bcd5928dd9acd,https://web.archive.org/web/20260907103339/https://carrd.com/pro,prijsmeter-1.0.0/v1-2026-07,1,2026-09-07,0.75,,,,unknown,observed_new,,,523ce05da3c06d00
website-builders,hostinger-builder,premium,2026-09_r1,https://www.hostinger.com/website-builder,2026-09-07T10:17:26.987Z,200,json_ld,offers.price,"USD 2.99 ""Premium"" (JSON-LD)",USD,month,8b5026a20e94d0a6,https://web.archive.org/web/20260907103413/https://www.hostinger.com/website-builder,prijsmeter-1.0.0/v1-2026-07,1,2026-09-07,2.99,2.99,css_selector,10.99,true,observed_new,,mediaan van 3/3 runs,1e6413cf8b4f9cfc
website-builders,wordpress-com,personal,2026-09_r1,https://wordpress.com/pricing/,2026-09-07T10:17:33.419Z,200,css_selector,text-proximity,€ 4 | a site you can customize. € 9 € 4 € 3.25 € 2.75 per month per month per month per month Save 55% Save 63% Save 69% Free,EUR,month,61a0629a30ab1dc8,https://web.archive.org/web/20260907103439/https://wordpress.com/pricing/,prijsmeter-1.0.0/v1-2026-07,1.1622,2026-09-04,4.65,,,,unknown,observed_unchanged,,"mediaan van 3/3 runs; vergeleken in EUR: 4 -> 4 per maand; de dollarwaarde ging wel 4.59 -> 4.65 en dat is wisselkoers, geen prijs",3e16107461e1a720
website-builders,shopify,basic,2026-09_r1,https://www.shopify.com/pricing,2026-09-07T10:17:39.742Z,200,css_selector,text-proximity,"€1 | Us too. Try 3 days free, then €1/month for 3 months. Pay yearly Compare all features Basic €21 /mo For solo entrepreneur",EUR,month,c0c50d8fdb9c9d1f,https://web.archive.org/web/20260907103541/https://www.shopify.com/pricing,prijsmeter-1.0.0/v1-2026-07,1.1622,2026-09-04,1.16,,,,unknown,observed_unchanged,,"mediaan van 3/3 runs; vergeleken in EUR: 1 -> 1 per maand; de dollarwaarde ging wel 1.15 -> 1.16 en dat is wisselkoers, geen prijs",5009e26520111e2f
website-builders,strikingly,pro,2026-09_r1,https://www.strikingly.com/s/pricing,2026-09-07T10:17:45.634Z,200,css_selector,text-proximity,"$ 16 | ort Sign Up Most Popular! Pro $ 16 /mo USD, Billed yearly Everything you need to launch & grow! Sign Up 3 Pro sites Unli",USD,month,8e30a40ef1770d5d,https://web.archive.org/web/20260907103605/https://www.strikingly.com/s/pricing,prijsmeter-1.0.0/v1-2026-07,1,2026-09-07,16,,,,unknown,observed_unchanged,,mediaan van 3/3 runs; vergeleken in USD: 16 -> 16 per maand,4e71f9fdb3827f51
website-builders,jimdo,jimdo-instap,2026-09_r1,https://www.jimdo.com/pricing/website/,2026-09-07T10:17:52.394Z,200,css_selector+render,text-proximity,€ 12 | support within 24 hours Start € 12 . 20 per month / month Get Started For your personal website Free domain 10 pages Boo,EUR,month,ca0f1f726ed78dcf,,prijsmeter-1.0.0/v1-2026-07,1.1622,2026-09-04,13.95,,,,unknown,observed_unchanged,,"mediaan van 3/3 runs; vergeleken in EUR: 12 -> 12 per maand; de dollarwaarde ging wel 13.78 -> 13.95 en dat is wisselkoers, geen prijs",2b38d60119ae12d2
website-builders,ionos,starter,2026-09_r1,https://www.ionos.com/websites/website-builder,2026-09-07T10:19:56.304Z,200,css_selector,text-proximity,$ 6 | y-back guarantee Save 67% $18 $ 6 /month with a 1-year term Then only $14 /month Add to cart All essential features Also,USD,month,521fd1866e1be2ba,https://web.archive.org/web/20260907103858/https://www.ionos.com/websites/website-builder,prijsmeter-1.0.0/v1-2026-07,1,2026-09-07,6,,,14,unknown,observed_unchanged,,mediaan van 3/3 runs; vergeleken in USD: 6 -> 6 per maand,b07842b31337aaf6
website-builders,10web,ai-starter,2026-09_r1,https://10web.io/pricing/,2026-09-07T10:20:10.720Z,200,css_selector,text-proximity,$120 | or buy now Get 12 months for $120 (regular price $240). Websites 1 AI Credits 100/mo Additional Website Get additional,USD,year,4710f1a3578e0f69,https://web.archive.org/web/20260907103943/https://10web.io/pricing-platform/,prijsmeter-1.0.0/v1-2026-07,1,2026-09-07,10,,,,unknown,observed_new,,mediaan van 3/3 runs,859320f34ed8bce1
website-builders,godaddy,godaddy-instap,2026-09_r1,https://www.godaddy.com/websites/website-builder/plans-and-pricing,2026-09-07T10:30:52.071Z,403,manual,,,,unknown,4c3675605bde8616,,prijsmeter-1.0.0/v1-2026-07,,,,,,,unknown,missing,,"geen prijs gevonden (statisch, mogelijk JS, 431 bytes)",6ccaa90a1d40b211
website-builders,site123,premium,2026-09_r1,https://www.site123.com/pricing,2026-09-07T10:20:44.294Z,200,css_selector,text-proximity,"$10.8 | you will be charged as low as $10.8 per month (annual plan, paid up front). Can I switch my package plan? Yes you can! Y",USD,month,9483cab7667016c7,https://web.archive.org/web/20260907104037/https://www.site123.com/pricing,prijsmeter-1.0.0/v1-2026-07,1,2026-09-07,10.8,,,,unknown,observed_unchanged,,mediaan van 3/3 runs; vergeleken in USD: 10.8 -> 10.8 per maand,d1cde3430280d257
website-builders,webflow,basic,2026-09_r1,https://webflow.com/pricing,2026-09-07T10:20:47.895Z,200,css_selector+render,text-proximity,$ 15 | sites that don't need a CMS. $ 15 /mo billed yearly Add plan Custom domain 300 static pages 10 GB bandwidth Unlimited f,USD,month,fa4c7d38d0db4de0,http://web.archive.org/web/20260901105045/https://webflow.com/pricing,prijsmeter-1.0.0/v1-2026-07,1,2026-09-07,15,,,,unknown,observed_unchanged,,mediaan van 3/3 runs; vergeleken in USD: 15 -> 15 per maand,8cd709b609275bb5
