niche,provider_slug,plan_id,run_id,source_url,fetched_at,http_status,extraction_method,selector_or_path,raw_value,raw_currency,raw_period,page_hash,archive_url,scraper_version,fx_rate,fx_date,normalized_usd_per_month,alt_usd_per_month,alt_method,renewal_usd_per_month,incl_vat,status,flags,reason,body_hash
seo,keywords-everywhere,bronze,2026-09_r1,https://keywordseverywhere.com/ctl/subscriptions,2026-09-07T09:44:40.317Z,200,css_selector,text-proximity,"$84 | pire after one year. Bronze 7 $84 billed annually 100,000 credits/year Buy Bronze Plan User Seats: 1 All Keywords Everyw",USD,year,ef48ac58200a3742,https://web.archive.org/web/20260907095155/https://keywordseverywhere.com/ctl/subscriptions,prijsmeter-1.0.0/v1-2026-07,1,2026-09-07,7,,,,unknown,observed_unchanged,,mediaan van 3/3 runs; vergeleken in USD: 7 -> 7 per maand,3bec63cb0611c62a
seo,sitebulb,lite,2026-09_r1,https://sitebulb.com/subscriptions/pricing/index/?annual=true,2026-09-07T09:44:44.296Z,200,css_selector,text-proximity,"£95 | ver, with plans starting from £95/month, and going up in excess of £20k/year for big teams that need to do LOTS of crawl",GBP,month,d5e27fdd9a2cb64f,,prijsmeter-1.0.0/v1-2026-07,1.353,2026-09-04,128.54,,,,unknown,observed_unchanged,,"mediaan van 3/3 runs; vergeleken in GBP: 95 -> 95 per maand; de dollarwaarde ging wel 127.5 -> 128.54 en dat is wisselkoers, geen prijs",f8fddd985664d597
seo,screaming-frog,paid,2026-09_r1,https://www.screamingfrog.co.uk/seo-spider/pricing/,2026-09-07T09:44:48.542Z,200,css_selector+render,text-proximity,"€209 | icence, per year 20+ Licences €209 per licence, per year Services Search Engine Marketing Search Engine Optimisation AI",EUR,year,6d5c39ce752dd4eb,https://web.archive.org/web/20260907095403/https://www.screamingfrog.co.uk/seo-spider/pricing/,prijsmeter-1.0.0/v1-2026-07,1.1622,2026-09-04,20.24,,,,unknown,observed_unchanged,,"mediaan van 3/3 runs; vergeleken in EUR: 17.42 -> 17.42 per maand; de dollarwaarde ging wel 20 -> 20.24 en dat is wisselkoers, geen prijs",978225d2f59d7070
seo,keysearch,starter,2026-09_r1,https://www.keysearch.co/#pricing,2026-09-07T09:50:19.795Z,404,manual,,,,unknown,b16e15764b8bc06c,,prijsmeter-1.0.0/v1-2026-07,,,,,,,unknown,missing,,"geen prijs gevonden (statisch, mogelijk JS, 19 bytes)",4c6779a0b2dd5ef1
seo,mangools,basic,2026-09_r1,https://mangools.com/plans-and-pricing,2026-09-07T09:45:24.158Z,200,css_selector+render,text-proximity,€452.40 | 70 / mo Save €279.60 €732.00 €452.40 / yr Included in bundle + AI Search Watcher PRO Prompts monitored 500 Monitors Unl,EUR,year,f996de842eb952a1,https://web.archive.org/web/20260907095443/https://mangools.com/plans-and-pricing,prijsmeter-1.0.0/v1-2026-07,1.1622,2026-09-04,43.81,,,,true,observed_new,,mediaan van 3/3 runs,27bcc7adc253c015
seo,ubersuggest,individual,2026-09_r1,https://app.neilpatel.com/en/pricing,2026-09-07T09:45:44.382Z,200,css_selector,text-proximity,$ 29 | orce 2021. Ubersuggest logo US$ 29 - US$ 99 Semrush logo US$ 139 - US$ 499 Ahrefs logo US$ 129 - US$ 449 Moz logo US$ 49,USD,month,790756742c911bae,https://web.archive.org/web/20260907095508/https://app.neilpatel.com/en/pricing,prijsmeter-1.0.0/v1-2026-07,1,2026-09-07,29,,,,unknown,observed_unchanged,,mediaan van 3/3 runs; vergeleken in USD: 29 -> 29 per maand,1566863db276422e
seo,frase,starter,2026-09_r1,https://www.frase.io/pricing/,2026-09-07T09:45:48.773Z,200,css_selector,text-proximity,"$39 | ancers, and single-site teams $39 /mo billed yearly · $49/mo month to month Start free trial Free 7-day trial. No credit",USD,month,073cd1e9aed7b2f0,https://web.archive.org/web/20260907095555/https://www.frase.io/pricing,prijsmeter-1.0.0/v1-2026-07,1,2026-09-07,39,,,,unknown,observed_unchanged,,mediaan van 3/3 runs; vergeleken in USD: 39 -> 39 per maand,e17cc12adc664851
seo,se-ranking,core,2026-09_r1,https://seranking.com/subscription.html,2026-09-07T09:45:52.594Z,200,css_selector,text-proximity,€ 87.20 | eams with repeatable delivery € 87.20 € 109.00 /mo Start free 14-day trial No credit card required 10 projects & 1 manag,EUR,month,420fe74b05604ece,,prijsmeter-1.0.0/v1-2026-07,1.1622,2026-09-04,101.34,,,,unknown,observed_unchanged,,"mediaan van 3/3 runs; vergeleken in EUR: 87.2 -> 87.2 per maand; de dollarwaarde ging wel 100.15 -> 101.34 en dat is wisselkoers, geen prijs",e9c7acddbc51ab85
seo,serpstat,individual,2026-09_r1,https://serpstat.com/page/pricing-plans/,2026-09-07T09:45:57.468Z,200,css_selector,text-proximity,$50 | th annual discount Individual $50 /mo SAVE $228 ANNUALLY Start free trial now or buy now For freelancers and beginners:,USD,month,6319d2757f8d7f79,https://web.archive.org/web/20260907095743/https://serpstat.com/page/pricing-plans/,prijsmeter-1.0.0/v1-2026-07,1,2026-09-07,50,,,,unknown,observed_unchanged,,mediaan van 3/3 runs; vergeleken in USD: 50 -> 50 per maand,528c08a6e705acc9
seo,surfer,discovery,2026-09_r1,https://surferseo.com/pricing/,2026-09-07T09:46:10.606Z,200,css_selector,text-proximity,49 EUR | scale and security Discovery 49 EUR per month Billed yearly Save €120 Draft and optimize content to establish a baselin,EUR,month,0ce68a0c7774ce9d,https://web.archive.org/web/20260907095813/https://surferseo.com/pricing/,prijsmeter-1.0.0/v1-2026-07,1.1622,2026-09-04,56.95,,,,unknown,observed_changed,suspect_jump,"gevlagd (suspect_jump) maar beoordeeld op undefined door undefined: De sprong is de CORRECTIE van een meetfout, niet een prijswijziging. Surfer schrijft zijn bedragen met het valutateken ACHTER het getal: op de pagina staat letterlijk 'Discovery 49 EUR per month Billed yearly Save EUR 120'. De tekstuitlezer kende tot 1-9-2026 alleen de schrijfwijze teken-eerst en zag daardoor maar een token op die plek: de 120 uit 'Save EUR 120', het KORTINGSBEDRAG. Dat is drie ronden lang gepubliceerd als de prijs: juli 137,02, augustus 137,82, september 139,15 USD per maand, elke maand netjes 'observed_unchanged' omdat het artefact stabiel was. De vendorconfig wist het al: expected_amount staat sinds de aanleg op 49 EUR per maand voor plan_id 'discovery', met de notitie 'Laagste betaalde individuele plan = Discovery'. De nieuwe meting 56,79 USD is 49 EUR maal de ECB-koers 1,159 en komt dus exact uit op wat de config voorschrijft en wat de pagina toont. De vlag suspect_jump gaat af tegen de FOUTE historie (139,15 -> 56,79 is -59%), niet tegen de winkel.; vergeleken in USD: 137.82 -> 56.95 (eigen munt niet in beide maanden vast te stellen)",721a191ba0e67d69
