niche,provider_slug,plan_id,run_id,source_url,fetched_at,http_status,extraction_method,selector_or_path,raw_value,raw_currency,raw_period,page_hash,archive_url,scraper_version,fx_rate,fx_date,normalized_usd_per_month,alt_usd_per_month,alt_method,renewal_usd_per_month,incl_vat,status,flags,reason,body_hash
newsletter-tools,brevo,starter,2026-09_r1,https://www.brevo.com/pricing/,2026-09-07T10:45:33.284Z,200,json_ld,offers.price,"USD 96.96 ""Starter"" (JSON-LD, year)",USD,year,d72dbe099371ebc1,https://web.archive.org/web/20260907105302/https://www.brevo.com/pricing/,prijsmeter-1.0.0/v1-2026-07,1,2026-09-07,8.08,,,,unknown,observed_new,,mediaan van 3/3 runs,258d9bb319d8a153
newsletter-tools,ghost,starter,2026-09_r1,https://ghost.org/pricing/,2026-09-07T10:45:41.843Z,200,css_selector,text-proximity,$ 18 | For solo blogs & newsletters $ 18 USD / mo Billed yearly Features Your own website Free custom domain NEW Custom domain,USD,month,6545c9880b69cc33,https://web.archive.org/web/20260907105327/https://ghost.org/pricing/,prijsmeter-1.0.0/v1-2026-07,1,2026-09-07,18,,,,unknown,observed_unchanged,,mediaan van 3/3 runs; vergeleken in USD: 18 -> 18 per maand,e3bbb201f9042c21
newsletter-tools,mailerlite,comfort,2026-09_r1,https://www.mailerlite.com/pricing,2026-09-07T10:45:46.360Z,200,css_selector,text-proximity,$12 | ). The Comfort plan (starting $12/month) is the full toolset at the right size for solopreneurs and small teams. You get,USD,month,ed8a45ad425a76ee,http://web.archive.org/web/20260829021232/https://www.mailerlite.com/pricing,prijsmeter-1.0.0/v1-2026-07,1,2026-09-07,12,,,,unknown,observed_unchanged,,mediaan van 3/3 runs; vergeleken in USD: 12 -> 12 per maand,2ddc6e23c684ed85
newsletter-tools,aweber,lite,2026-09_r1,https://www.aweber.com/pricing.htm,2026-09-07T10:45:50.547Z,200,json_ld,offers.price,"USD 15 ""Lite"" (JSON-LD)",USD,month,21409ef415fe67de,https://web.archive.org/web/20260907105434/https://www.aweber.com/pricing.htm,prijsmeter-1.0.0/v1-2026-07,1,2026-09-07,15,12.49,css_selector,,true,under_review,extractor_disagreement,gevlagd: extractor_disagreement,cade5c330cbf9e43
newsletter-tools,mailchimp,essentials,2026-09_r1,https://mailchimp.com/pricing/,2026-09-07T10:45:55.380Z,200,css_selector,text-proximity,"€ 11 | Save 15% on 10,000+ contacts € 11 28 /mo for 12 months per month for 12 months Then, starts at /month† per month† Start",EUR,month,3a1fb54023d2fc4c,https://web.archive.org/web/20260907105501/https://mailchimp.com/pricing/marketing/,prijsmeter-1.0.0/v1-2026-07,1.1622,2026-09-04,12.78,,,,unknown,observed_unchanged,,"mediaan van 3/3 runs; vergeleken in EUR: 11 -> 11 per maand; de dollarwaarde ging wel 12.63 -> 12.78 en dat is wisselkoers, geen prijs",1ea0ee8dc77ffbf0
newsletter-tools,activecampaign,starter,2026-09_r1,https://www.activecampaign.com/pricing,2026-09-07T10:46:04.420Z,200,css_selector+render,text-proximity,$ 15 | Customize your plan Starts at $ 15 / mo $ / mo Billed annually Buy Now Active Intelligence (limits apply) Marketing auto,USD,month,6d1136f6d6f20553,https://web.archive.org/web/20260907105536/https://www.activecampaign.com/pricing,prijsmeter-1.0.0/v1-2026-07,1,2026-09-07,15,,,,unknown,observed_unchanged,,mediaan van 3/3 runs; vergeleken in USD: 15 -> 15 per maand,b4bb490ba43478fd
newsletter-tools,omnisend,standard,2026-09_r1,https://www.omnisend.com/pricing/,2026-09-07T10:46:58.442Z,200,css_selector,text-proximity,"$11.20 | es focused on email marketing $11.20 /mo Billed monthly Total of: $48.00 $33.60 today -30% After 3 months, you will be b",USD,month,960bb8459ac787db,https://web.archive.org/web/20260907105638/https://www.omnisend.com/pricing/,prijsmeter-1.0.0/v1-2026-07,1,2026-09-07,11.2,,,,unknown,observed_unchanged,,mediaan van 3/3 runs; vergeleken in USD: 11.2 -> 11.2 per maand,2d3e33fc13e33cdb
newsletter-tools,getresponse,starter,2026-09_r1,https://www.getresponse.com/pricing,2026-09-07T10:47:06.257Z,200,css_selector,text-proximity,"€ 13.12 | mited monthly sends. € 16 /mo € 13.12 /mo Paid annually, save up to € 35 a year Start free trial Includes: Unlimited mon",EUR,month,c6436bf4d542f737,https://web.archive.org/web/20260907105708/https://www.getresponse.com/pricing,prijsmeter-1.0.0/v1-2026-07,1.1622,2026-09-04,15.25,,,,true,observed_changed,,mediaan van 3/3 runs; vergeleken in EUR: 13 -> 13.12 per maand,f175f2c62d14ae96
newsletter-tools,klaviyo,email,2026-09_r1,https://www.klaviyo.com/pricing,2026-09-07T10:51:36.624Z,404,manual,,,,unknown,909edbdd3f01e90e,https://web.archive.org/web/20260907105739/https://www.klaviyo.com/pricing,prijsmeter-1.0.0/v1-2026-07,,,,,,,unknown,missing,,"geen prijs gevonden (ook na render, 289659 bytes)",3ce222f36ed3e5c9
newsletter-tools,kit,creator,2026-09_r1,https://kit.com/pricing,2026-09-07T10:47:50.787Z,200,css_selector,text-proximity,"$ 390 | For growing creators $ 33 /mo $ 390 billed yearly— Save $ 78 per year Pay yearly—save 17% For 1,000 email subscribers No",USD,year,570453cfecc9c2dc,,prijsmeter-1.0.0/v1-2026-07,1,2026-09-07,32.5,,,,unknown,observed_new,,mediaan van 3/3 runs,9044f395f95f5f5b
newsletter-tools,beehiiv,scale,2026-09_r1,https://www.beehiiv.com/pricing,2026-09-07T10:47:58.341Z,200,css_selector,text-proximity,$517 | Save $ 71 /year $43 per month $517 billed annually Try for free Everything on Launch + Ad Network * † Recommendations *,USD,year,b1e38593a10df4b7,https://web.archive.org/web/20260907105857/https://www.beehiiv.com/pricing,prijsmeter-1.0.0/v1-2026-07,1,2026-09-07,43.08,,,,unknown,observed_new,,mediaan van 3/3 runs,f948d64c17c8546e
